t,x,y,z,vx,vy,vz,ax,ay,az
0.000000000000000000e+00,5.669999999999999485e-01,6.199999999999999956e-02,2.100000000000000200e-01,0.000000000000000000e+00,-7.000000000000061728e-03,0.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000030864e-01,0.000000000000000000e+00
2.000000000000000042e-02,5.669999999999999485e-01,6.185999999999999832e-02,2.100000000000000200e-01,0.000000000000000000e+00,-7.000000000000061728e-03,0.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000030864e-01,0.000000000000000000e+00
4.000000000000000083e-02,5.669999999999999485e-01,6.144000000000000156e-02,2.100000000000000200e-01,0.000000000000000000e+00,-2.099999999999983824e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.999999999999888534e-01,0.000000000000000000e+00
5.999999999999999778e-02,5.672599999999999865e-01,6.099999999999999867e-02,2.100000000000000200e-01,1.300000000000190066e-02,-2.200000000000014791e-02,0.000000000000000000e+00,6.500000000000951683e-01,-5.000000000001549039e-02,0.000000000000000000e+00
8.000000000000000167e-02,5.681697056274848112e-01,6.083029437251522703e-02,2.100000000000000200e-01,4.548528137424123069e-02,-8.485281374238580129e-03,0.000000000000000000e+00,1.624264068711966269e+00,6.757359312880782953e-01,0.000000000000000000e+00
1.000000000000000056e-01,5.689999999999999503e-01,5.991421356237309342e-02,2.100000000000000200e-01,4.151471862575694532e-02,-4.580404050710667335e-02,0.000000000000000000e+00,-1.985281374242142405e-01,-1.865937956643404227e+00,0.000000000000000000e+00
1.199999999999999956e-01,5.689999999999999503e-01,5.837421356237309372e-02,2.100000000000000200e-01,0.000000000000000000e+00,-7.700000000000002676e-02,0.000000000000000000e+00,-2.075735931287848501e+00,-1.559797974644668406e+00,0.000000000000000000e+00
1.400000000000000133e-01,5.689999999999999503e-01,5.655421356237309849e-02,2.100000000000000200e-01,0.000000000000000000e+00,-9.099999999999967837e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.999999999999819700e-01,0.000000000000000000e+00
1.600000000000000033e-01,5.689999999999999503e-01,5.445421356237309385e-02,2.100000000000000200e-01,0.000000000000000000e+00,-1.050000000000002875e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.000000000000308198e-01,0.000000000000000000e+00
1.799999999999999933e-01,5.689999999999999503e-01,5.207421356237310062e-02,2.100000000000000200e-01,0.000000000000000000e+00,-1.189999999999997171e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.999999999999718669e-01,0.000000000000000000e+00
2.000000000000000111e-01,5.689999999999999503e-01,4.941421356237309104e-02,2.100000000000000200e-01,0.000000000000000000e+00,-1.330000000000003679e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.000000000000319300e-01,0.000000000000000000e+00
2.200000000000000011e-01,5.689999999999999503e-01,4.647421356237309981e-02,2.100000000000000200e-01,0.000000000000000000e+00,-1.469999999999996310e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.999999999999635403e-01,0.000000000000000000e+00
2.399999999999999911e-01,5.670584357902639372e-01,4.405843579026396534e-02,2.100000000000000200e-01,-9.707821048680069509e-02,-1.207888886054567790e-01,0.000000000000000000e+00,-4.853910524340037114e+00,1.310555569727143155e+00,0.000000000000000000e+00
2.600000000000000089e-01,5.680031457505075876e-01,4.100000000000000172e-02,2.100000000000000200e-01,4.723549801218247801e-02,-1.529217895131980420e-01,0.000000000000000000e+00,7.215685424949151994e+00,-1.606645045387061765e+00,0.000000000000000000e+00
2.800000000000000266e-01,5.713689321881345595e-01,4.200000000000000261e-02,2.100000000000000200e-01,1.682893218813484582e-01,5.000000000000000278e-02,0.000000000000000000e+00,6.052691193458293206e+00,1.014608947565989361e+01,0.000000000000000000e+00
2.999999999999999889e-01,5.750147186257614784e-01,4.100000000000000172e-02,2.100000000000000200e-01,1.822893218813462779e-01,-5.000000000000014155e-02,0.000000000000000000e+00,6.999999999998922640e-01,-5.000000000000016875e+00,0.000000000000000000e+00
3.200000000000000067e-01,5.680000000000000604e-01,6.099999999999999867e-02,2.100000000000000200e-01,-3.507359312880705682e-01,9.999999999999990008e-01,0.000000000000000000e+00,-2.665126265847082010e+01,5.249999999999991473e+01,0.000000000000000000e+00
